feature_name,importance,abs_importance
cat__customer_state_SP,-1.7283888493144832,1.7283888493144832
cat__product_category_name_english_office_furniture,1.6598572126231244,1.6598572126231244
cat__customer_state_MG,-1.5664124525479708,1.5664124525479708
cat__product_category_name_english_fashion_shoes,1.5598090476180926,1.5598090476180926
cat__customer_state_PR,-1.5223582446909574,1.5223582446909574
cat__customer_state_AP,1.4714606337981326,1.4714606337981326
cat__customer_state_AL,1.356981789628933,1.356981789628933
cat__customer_state_PA,1.1591964401408092,1.1591964401408092
cat__customer_state_AM,1.089521050847636,1.089521050847636
cat__product_category_name_english_cds_dvds_musicals,-1.0470928291752435,1.0470928291752435
cat__customer_state_PB,1.0379283819270129,1.0379283819270129
cat__product_category_name_english_la_cuisine,-1.0370255500362415,1.0370255500362415
cat__customer_state_RJ,-1.0163831061711224,1.0163831061711224
cat__seller_state_RN,0.9826835720641681,0.9826835720641681
cat__customer_state_DF,-0.9705445493795796,0.9705445493795796
num__same_state_flag,-0.9484165918277286,0.9484165918277286
cat__product_category_name_english_computers,-0.9237008989676402,0.9237008989676402
cat__product_category_name_english_furniture_living_room,0.8429016491393889,0.8429016491393889
cat__product_category_name_english_furniture_mattress_and_upholstery,0.8364321226415397,0.8364321226415397
cat__product_category_name_english_home_appliances_2,0.8123918316940103,0.8123918316940103
cat__product_category_name_english_party_supplies,-0.7931970511649401,0.7931970511649401
cat__product_category_name_english_home_confort,0.7782286577323421,0.7782286577323421
cat__customer_state_MA,0.771306114500597,0.771306114500597
cat__seller_state_SE,-0.7519323444814172,0.7519323444814172
cat__product_category_name_english_market_place,-0.7220778975579679,0.7220778975579679
cat__seller_state_CE,0.7148235951302313,0.7148235951302313
cat__customer_state_SE,0.6854667542921207,0.6854667542921207
cat__product_category_name_english_furniture_bedroom,0.6832762401857846,0.6832762401857846
cat__product_category_name_english_flowers,-0.6795211363485923,0.6795211363485923
cat__customer_state_RO,0.672065976275716,0.672065976275716
cat__customer_state_ES,-0.66803438418574,0.66803438418574
cat__product_category_name_english_fashio_female_clothing,0.6482963123427462,0.6482963123427462
cat__customer_state_RS,-0.6472072969545433,0.6472072969545433
cat__customer_state_MS,-0.6443175589530948,0.6443175589530948
cat__seller_state_RO,0.6429893202811734,0.6429893202811734
cat__seller_state_ES,-0.6396521056462867,0.6396521056462867
cat__product_category_name_english_costruction_tools_garden,-0.6385908710660915,0.6385908710660915
cat__customer_state_GO,-0.6090365435689213,0.6090365435689213
cat__customer_state_RN,0.6007835802365064,0.6007835802365064
cat__product_category_name_english_small_appliances_home_oven_and_coffee,-0.5909693230286182,0.5909693230286182
cat__product_category_name_english_agro_industry_and_commerce,-0.5816061257116942,0.5816061257116942
cat__product_category_name_english_dvds_blu_ray,-0.5806004371715622,0.5806004371715622
cat__product_category_name_english_home_comfort_2,0.567081555120136,0.567081555120136
cat__customer_state_SC,-0.5616076987509666,0.5616076987509666
cat__product_category_name_english_furniture_decor,0.5521947664079944,0.5521947664079944
cat__product_category_name_english_construction_tools_lights,0.4943448324230291,0.4943448324230291
cat__product_category_name_english_small_appliances,-0.483286258284993,0.483286258284993
cat__product_category_name_english_fashion_male_clothing,0.4690342843935696,0.4690342843935696
cat__product_category_name_english_bed_bath_table,0.4663912036242669,0.4663912036242669
cat__product_category_name_english_food_drink,-0.455859518391445,0.455859518391445
cat__seller_state_PE,-0.44032443910939567,0.44032443910939567
num__items_count,-0.4107721654327878,0.4107721654327878
cat__product_category_name_english_books_imported,-0.4097799385365846,0.4097799385365846
cat__product_category_name_english_cool_stuff,-0.4078957096108699,0.4078957096108699
cat__seller_state_PA,0.38048009613526085,0.38048009613526085
cat__product_category_name_english_fashion_bags_accessories,-0.3766833252683344,0.3766833252683344
cat__product_category_name_english_books_technical,-0.3753752790584969,0.3753752790584969
cat__product_category_name_english_books_general_interest,0.37407672304758205,0.37407672304758205
cat__customer_state_CE,0.37113986028764623,0.37113986028764623
cat__product_category_name_english_art,-0.3662182782132483,0.3662182782132483
cat__seller_state_DF,-0.34934926438779945,0.34934926438779945
cat__customer_state_AC,0.3394261125032294,0.3394261125032294
cat__product_category_name_english_music,0.33628573438747866,0.33628573438747866
cat__product_category_name_english_home_construction,-0.3349155822707976,0.3349155822707976
cat__product_category_name_english_pet_shop,-0.33044145093966126,0.33044145093966126
cat__product_category_name_english_construction_tools_construction,0.3138338166223986,0.3138338166223986
cat__product_category_name_english_fixed_telephony,-0.3117695607843016,0.3117695607843016
cat__product_category_name_english_construction_tools_safety,0.29978917581896586,0.29978917581896586
cat__product_category_name_english_security_and_services,-0.2985765699511899,0.2985765699511899
cat__product_category_name_english_fashion_sport,0.2939563534177276,0.2939563534177276
cat__product_category_name_english_garden_tools,0.2775857748087898,0.2775857748087898
cat__product_category_name_english_watches_gifts,-0.27265226030738027,0.27265226030738027
cat__customer_state_PE,0.2723476417665677,0.2723476417665677
cat__product_category_name_english_toys,-0.2694401145066707,0.2694401145066707
cat__product_category_name_english_audio,0.26836261506747167,0.26836261506747167
cat__seller_state_RS,-0.26008484818938454,0.26008484818938454
cat__product_category_name_english_christmas_supplies,-0.25371274113446773,0.25371274113446773
cat__customer_state_BA,0.24883352661467467,0.24883352661467467
cat__payment_type_main_boleto,0.24166645283486055,0.24166645283486055
cat__seller_state_PB,0.23945099693375643,0.23945099693375643
cat__product_category_name_english_tablets_printing_image,0.23488109221758804,0.23488109221758804
cat__product_category_name_english_drinks,0.2150130688980057,0.2150130688980057
cat__seller_state_BA,-0.2145744635863438,0.2145744635863438
cat__payment_type_main_voucher,0.20358718050388377,0.20358718050388377
cat__product_category_name_english_costruction_tools_tools,-0.20324574105195845,0.20324574105195845
cat__product_category_name_english_luggage_accessories,-0.19702150462555534,0.19702150462555534
cat__seller_state_RJ,-0.18662684967097315,0.18662684967097315
cat__seller_state_MG,0.18281479270073958,0.18281479270073958
cat__product_category_name_english_air_conditioning,0.17960731341300337,0.17960731341300337
cat__seller_state_GO,-0.1630482336724523,0.1630482336724523
cat__product_category_name_english_home_appliances,-0.15685825574885132,0.15685825574885132
cat__product_category_name_english_musical_instruments,0.15567702693490762,0.15567702693490762
cat__product_category_name_english_arts_and_craftmanship,-0.15420083358620926,0.15420083358620926
cat__product_category_name_english_fashion_underwear_beach,0.1486398472686417,0.1486398472686417
cat__product_category_name_english_kitchen_dining_laundry_garden_furniture,0.14035881632990346,0.14035881632990346
cat__product_category_name_english_sports_leisure,-0.13971470651018542,0.13971470651018542
cat__product_category_name_english_unknown,0.13037410191652857,0.13037410191652857
cat__product_category_name_english_computers_accessories,-0.10915955212946701,0.10915955212946701
cat__product_category_name_english_cine_photo,0.10789701399780571,0.10789701399780571
cat__product_category_name_english_auto,0.10338012989960532,0.10338012989960532
cat__payment_type_main_credit_card,-0.08697011123243567,0.08697011123243567
num__purchase_month,0.08479255407859507,0.08479255407859507
cat__customer_state_TO,0.0796228110083844,0.0796228110083844
cat__seller_state_SP,0.07815476411550012,0.07815476411550012
cat__product_category_name_english_signaling_and_security,-0.07054965179588678,0.07054965179588678
cat__product_category_name_english_health_beauty,-0.06507950251639057,0.06507950251639057
num__purchase_dayofweek,0.06472337113074687,0.06472337113074687
cat__product_category_name_english_industry_commerce_and_business,-0.06408324464628616,0.06408324464628616
cat__customer_state_PI,0.06321980694726687,0.06321980694726687
cat__product_category_name_english_consoles_games,0.061871039694356415,0.061871039694356415
cat__product_category_name_english_stationery,-0.05890436003176658,0.05890436003176658
cat__customer_state_MT,0.05783012334679162,0.05783012334679162
cat__seller_state_MT,0.055977614595651856,0.055977614595651856
cat__product_category_name_english_food,0.05595235598949799,0.05595235598949799
cat__product_category_name_english_electronics,-0.05120361183372737,0.05120361183372737
cat__product_category_name_english_fashion_childrens_clothes,0.04612077494487359,0.04612077494487359
cat__product_category_name_english_housewares,0.04574958741831332,0.04574958741831332
